 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.706390043381277E9,-191.4828777,-557.6938814,-1941.875734,-214.2214695
 1.7063900433948543E9,-207.9982759,-573.0125116,-1952.885999,-218.2904806
 1.7063900433948543E9,-222.5988454,-618.2503415,-2017.51147,-229.5400997
 1.7063900434105206E9,-198.424132,-571.57639,-1961.742082,-215.657591
 1.7063900434105206E9,-196.0305961,-561.5235389,-1937.088662,-215.1788839
 1.7063900434113567E9,-221.1627238,-615.6174519,-2000.278012,-226.9072101
 1.7063900434113567E9,-205.3653864,-582.8260091,-1979.214895,-212.7853479
 1.7063900434253702E9,-189.8074026,-547.8803839,-1920.33391,-201.5357288
 1.7063900434253702E9,-216.3756518,-596.4691641,-1983.52326,-230.4975141
 1.7063900434405727E9,-213.7427623,-604.1284792,-2001.714133,-221.8807846
 1.7063900434405727E9,-206.0834472,-567.2680253,-1940.678966,-204.8866792
 1.7063900434413695E9,-219.7266022,-590.2459706,-1958.151778,-225.2317349
 1.7063900434413695E9,-224.9923813,-620.883231,-2021.101774,-241.2684259
 1.7063900434548457E9,-206.3228008,-575.8847548,-1960.066607,-213.0247015
 1.7063900434548457E9,-202.7324968,-562.2415997,-1935.413187,-211.8279335
 1.7063900434702852E9,-220.6840166,-614.6600375,-2007.697973,-241.2684259
 1.7063900434702852E9,-215.1788839,-595.0330426,-1990.464514,-225.4710885
 1.706390043485767E9,-204.407972,-556.9758206,-1927.035811,-203.6899112
 1.706390043485767E9,-226.6678565,-605.3252472,-1990.22516,-235.7632932
 1.706390043486238E9,-219.247895,-611.0697336,-2009.852155,-234.5665252
 1.706390043486238E9,-190.2861097,-558.4119422,-1930.147408,-198.1847785
 1.7063900435005262E9,-218.7691878,-583.3047163,-1962.460143,-235.5239396
 1.7063900435005262E9,-228.8220389,-623.9948278,-2025.649493,-240.071658
 1.7063900435012379E9,-211.1098727,-583.0653627,-1964.853679,-215.1788839
 1.7063900435012379E9,-219.4872486,-585.4588987,-1944.747977,-219.9659558
 1.7063900435148437E9,-238.87489,-627.5851318,-2013.681813,-239.5929508
 1.7063900435148437E9,-217.0937126,-592.1607994,-1986.156149,-217.3330662
 1.706390043530712E9,-197.9454249,-553.3855166,-1921.770032,-198.6634856
 1.706390043530712E9,-226.6678565,-601.7349433,-1979.214895,-226.4285029
 1.7063900435312223E9,-224.0349669,-605.8039544,-2006.979912,-229.0613925
 1.7063900435312223E9,-201.5357288,-562.9596605,-1933.977065,-201.7750824
 1.7063900435448327E9,-219.9659558,-586.6556666,-1951.449878,-211.1098727
 1.7063900435448327E9,-233.3697572,-623.7554742,-2017.990178,-234.087818
 1.7063900435771587E9,-211.5885799,-572.2944508,-1958.391132,-203.6899112
