 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.7081039134620795E9, -321.21252739429474, -1742.0154801607132, -2205.8827514648438, -190.76481693983078
 1.7081039134756837E9, -383.20510905981064, -1629.758643090725, -2125.459942817688, -414.5604302883148
 1.7081039134756837E9, -290.0965597629547, -1581.4092164635658, -2041.686183810234, -399.24180006980896
 1.7081039134913445E9, -281.47983026504517, -1715.6865844726562, -2176.2029054164886, -180.7119658589363
 1.7081039134913445E9, -371.23742920160294, -1675.9538873434067, -2175.484844624996, -330.06861048936844
 1.70810391349205E9, -326.238952934742, -1565.6118790507317, -2042.8829517960548, -457.8834313750267
 1.70810391349205E9, -267.1186144351959, -1674.757119357586, -2118.997395694256, -225.71044212579727
 1.7081039135056355E9, -358.07298135757446, -1720.2343028187752, -2202.5318011045456, -247.4916194677353
 1.7081039135056355E9, -379.8541586995125, -1595.531078696251, -2086.924013674259, -476.7923655509949
 1.7081039135213287E9, -273.3418079614639, -1628.32252150774, -2076.1531018018723, -327.43572092056274
 1.7081039135213287E9, -326.238952934742, -1743.4516017436981, -2209.9517626166344, -189.56804895401
 1.7081039135220537E9, -398.28438568115234, -1641.4869693517685, -2138.145683467388, -422.21974539756775
 1.7081039135220537E9, -299.4313500523567, -1592.658835530281, -2052.457095682621, -405.46499359607697
 1.7081039135356307E9, -292.49009573459625, -1729.8084467053413, -2175.245491027832, -185.9777449965477
 1.7081039135356307E9, -396.13020330667496, -1696.777650296688, -2189.367353260517, -340.1214615702629
 1.7081039135513308E9, -349.9349590539932, -1584.9995204210281, -2056.765460431576, -474.1594759821892
 1.7081039135513308E9, -275.4959903359413, -1688.1609207987785, -2128.0928323864937, -236.4813539981842
 1.7081039135520651E9, -363.57811409235, -1726.6968499422073, -2212.58465218544, -254.1935201883316
 1.7081039135520651E9, -374.1096723675728, -1590.5046531558037, -2085.9665992856026, -477.031719148159
 1.708103913565631E9, -275.9746975302696, -1629.997996687889, -2079.9827593564987, -328.39313530921936
 1.708103913565631E9, -318.10093063116074, -1739.8612977862358, -2206.122105062008, -186.456452190876
 1.7081039135813031E9, -385.11993783712387, -1625.4502783417702, -2127.8534787893295, -414.0817230939865
 1.7081039135813031E9, -294.16557091474533, -1584.0421060323715, -2043.8403661847115, -397.5663248896599
 1.7081039135821233E9, -289.1391453742981, -1723.106545984745, -2172.373247861862, -185.73839139938354
 1.7081039135821233E9, -382.00834107398987, -1682.4164344668388, -2175.484844624996, -327.91442811489105
 1.7081039135956345E9, -339.40340077877045, -1569.6808902025223, -2050.3029133081436, -467.696928858757
 1.7081039135956345E9, -268.07602882385254, -1686.2460920214653, -2130.486368358135, -237.91747558116913
 1.7081039136113367E9, -365.7322964668274, -1733.877457857132, -2212.824005782604, -256.347702562809
 1.7081039136113367E9, -378.6573907136917, -1601.2755650281906, -2091.7110856175423, -477.031719148159
 1.7081039136120749E9, -280.04370868206024, -1640.5295549631119, -2089.556903243065, -328.1537817120552
 1.7081039136120749E9, -331.7440856695175, -1754.9405744075775, -2223.594917654991, -197.70607125759125
 1.708103913642085E9, -402.35339683294296, -1644.8379197120667, -2142.693401813507, -430.59712129831314
 1.708103913642085E9, -313.0745050907135, -1602.4723330140114, -2063.9460683465004, -415.2784910798073
 1.7081039136427512E9, -301.82488602399826, -1742.9728945493698, -2190.0854140520096, -193.87641370296478
 1.7081039136427512E9, -394.2153745293617, -1698.6924790740013, -2186.9738172888756, -342.7543511390686
 1.7081039136435347E9, -351.6104342341423, -1589.307885169983, -2068.7331402897835, -487.5632774233818
 1.7081039136435347E9, -276.45340472459793, -1693.666053533554, -2145.0869377851486, -255.15093457698822
 1.7081039136556692E9, -365.49294286966324, -1735.7922866344452, -2223.8342712521553, -271.4269791841507
 1.7081039136556692E9, -380.57221949100494, -1605.5839297771454, -2107.029715836048, -498.81289649009705
 1.7081039136714122E9, -288.1817309856415, -1646.2740412950516, -2102.481997489929, -348.9775446653366
 1.7081039136714122E9, -336.0524504184723, -1761.4031215310097, -2233.6477687358856, -212.78534787893295
 1.7081039136721013E9, -404.2682256102562, -1656.8055995702744, -2151.788838505745, -442.56480115652084
 1.7081039136721013E9, -308.5267867445946, -1605.3445761799812, -2066.8183115124702, -426.0494029521942
 1.7081039136856682E9, -292.96880292892456, -1736.0316402316093, -2187.691878080368, -198.66348564624786
 1.7081039136856682E9, -390.1463633775711, -1693.1873463392258, -2190.564121246338, -335.0950360298157
 1.7081039137014039E9, -342.03629034757614, -1577.8189125061035, -2056.5261068344116, -475.5955975651741
 1.7081039137014039E9, -275.9746975302696, -1690.55445677042, -2139.8211586475372, -250.84256982803345
 1.708103913702134E9, -374.5883795619011, -1738.664529800415, -2217.132370531559, -257.54447054862976
 1.708103913702134E9, -384.8805842399597, -1608.4561729431152, -2096.4981575608253, -492.58970296382904
 1.7081039137156582E9, -283.15530544519424, -1642.444383740425, -2094.8226823806763, -338.685339987278
 1.7081039137156582E9, -328.87184250354767, -1750.6322096586227, -2218.3291385173798, -197.9454248547554
 1.7081039137313502E9, -389.42830258607864, -1634.7850686311722, -2137.4276226758957, -418.8687950372696
 1.7081039137313502E9, -292.49009573459625, -1588.1111171841621, -2052.217742085457, -403.0714576244354
 1.7081039137321744E9, -290.8146205544472, -1727.1755571365356, -2176.442259013653, -182.3874410390854
 1.7081039137321744E9, -392.53989934921265, -1692.9479927420616, -2185.2983421087265, -334.8556824326515
 1.7081039137456656E9, -340.6001687645912, -1580.212448477745, -2051.7390348911285, -467.9362824559212
 1.7081039137456656E9, -274.5385759472847, -1685.767384827137, -2126.896064400673, -233.8484644293785
 1.7081039137613764E9, -371.4767827987671, -1734.116811454296, -2212.58465218544, -253.95416659116745
 1.7081039137613764E9, -381.05092668533325, -1602.4723330140114, -2091.9504392147064, -482.2974982857704
 1.7081039137621596E9, -281.9585374593735, -1635.981836616993, -2089.556903243065, -330.3079640865326
 1.7081039137621596E9, -328.39313530921936, -1747.759966492653, -2215.45689535141, -195.3125352859497
 1.7081039137756774E9, -397.80567848682404, -1646.2740412950516, -2139.581805050373, -426.5281101465225
 1.7081039137756774E9, -303.50036120414734, -1602.4723330140114, -2060.355764389038, -414.32107669115067
 1.7081039137906728E9, -294.4049245119095, -1732.9200434684753, -2183.144159734249, -191.48287773132324
 1.7081039137906728E9, -389.6676561832428, -1697.0170038938522, -2189.8460604548454, -338.44598639011383
 1.7081039138063748E9, -282.1978910565376, -1693.1873463392258, -2135.9915010929108, -246.29485148191452
 1.7081039138063748E9, -372.67355078458786, -1742.9728945493698, -2217.371724128723, -263.76766407489777
 1.7081039138071113E9, -387.9921810030937, -1608.4561729431152, -2096.019450366497, -481.8187910914421
 1.7081039138071113E9, -285.5488414168358, -1644.3592125177383, -2085.4878920912743, -330.54731768369675
